condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
A_PA1_to_C1;1D;0;1;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-153.7544851933554;149.44404467877047;-93.52173178105545;58.86162054725508;0.0
A_PA1_to_C1;1D;0;2;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-153.24162675822262;149.6885092961834;-93.32882435158139;58.591326736680024;0.08368229429568075
A_PA1_to_C1;1D;0;3;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-152.7287683230898;149.93297391359636;-93.13591692210733;58.32595274901001;0.1658414236052863
A_PA1_to_C1;1D;0;4;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-152.21590988795703;150.1774385310093;-92.94300949263327;58.065566038704056;0.24645650419536125
A_PA1_to_C1;1D;0;5;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-151.70305145282424;150.42190314842222;-92.7501020631592;57.81023399633022;0.32550667211295803
A_PA1_to_C1;1D;0;6;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-151.19019301769146;150.66636776583516;-92.55719463368514;57.56002388833598;0.4029711018325379
A_PA1_to_C1;1D;0;7;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.67733458255864;150.9108323832481;-92.36428720421108;57.31500279456646;0.47882902560019147
A_PA1_to_C1;1D;0;8;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.16447614742586;151.15529700066105;-92.17137977473702;57.075237543583775;0.5530597534586086
A_PA1_to_C1;1D;0;9;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.65161771229307;151.39976161807397;-91.97847234526297;56.840794645851574;0.6256426939329742
A_PA1_to_C1;1D;0;10;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.1387592771603;151.6442262354869;-91.78556491578891;56.611740224861684;0.69655737535399
A_PA1_to_C1;1D;0;11;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.62590084202748;151.88869085289986;-91.59265748631485;56.38813994629168;0.7657834677905271
A_PA1_to_C1;1D;0;12;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.1130424068947;152.1331554703128;-91.39975005684079;56.170058945295125;0.8333008055603557
A_PA1_to_C1;1D;0;13;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.6001839717619;152.37762008772572;-91.20684262736673;55.957561752039204;0.8990894102835512
A_PA1_to_C1;1D;0;14;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.08732553662912;152.62208470513866;-91.01393519789266;55.750712215617796;0.963129514438787
A_PA1_to_C1;1D;0;15;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-146.5744671014963;152.8665493225516;-90.8210277684186;55.549573426480855;1.025401585379015
A_PA1_to_C1;1D;0;16;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-146.06160866636353;153.11101393996455;-90.62812033894454;55.35420763753503;1.0858863497585283
A_PA1_to_C1;1D;1;1;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-152.31531120755113;150.13954923580542;-92.96761526067155;58.082598579741806;0.0
A_PA1_to_C1;1D;1;2;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-151.80154598636668;150.38318043736456;-92.77607117924869;57.81244008320881;0.08364040140340379
A_PA1_to_C1;1D;1;3;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-151.28778076518222;150.62681163892373;-92.58452709782581;57.54726925731398;0.16573663233059577
A_PA1_to_C1;1D;1;4;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-150.77401554399776;150.87044284048287;-92.39298301640294;57.28715536289943;0.24626724979640002
A_PA1_to_C1;1D;1;5;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-150.2602503228133;151.11407404204203;-92.20143893498006;57.03216759138796;0.32521083230768966
A_PA1_to_C1;1D;1;6;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-149.74648510162885;151.35770524360117;-92.00989485355719;56.782375001151074;0.4025459995636922
A_PA1_to_C1;1D;1;7;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-149.2327198804444;151.6013364451603;-91.81835077213432;56.53784645147471;0.4782514329000307
A_PA1_to_C1;1D;1;8;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-148.71895465925994;151.84496764671948;-91.62680669071145;56.29865053417991;0.5523058964587904
A_PA1_to_C1;1D;1;9;5.0;0.6;0.6;-148.46207204866772;151.96678324749905;-91.53103465000001;-123.18049367645828;121.3302084076179;-51.8;-148.2051894380755;152.08859884827862;-91.43526260928857;56.064855502969955;0.6246882590624914
