condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
A_PA1_to_C1;2D;0;1;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.6462112036711;149.3737002609855;-94.23143909251452;57.8483634574951;0.0
A_PA1_to_C1;2D;0;2;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.13335276853832;149.61816487839843;-94.03853166304046;57.59831898611111;0.07741314903529073
A_PA1_to_C1;2D;0;3;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.6204943334055;149.86262949581138;-93.8456242335664;57.353461493977505;0.15322042214167197
A_PA1_to_C1;2D;0;4;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.10763589827272;150.10709411322432;-93.65271680409234;57.11385769370263;0.22740116526082943
A_PA1_to_C1;2D;0;5;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.59477746313993;150.35155873063724;-93.45980937461829;56.879573978466716;0.2999348232286039
A_PA1_to_C1;2D;0;6;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.08191902800715;150.59602334805018;-93.26690194514423;56.65067635330775;0.3708009610487153
A_PA1_to_C1;2D;0;7;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.56906059287434;150.84048796546313;-93.07399451567017;56.427230364448825;0.4399792857728393
A_PA1_to_C1;2D;0;8;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.05620215774155;151.08495258287607;-92.8810870861961;56.20930102676895;0.5074496689554664
A_PA1_to_C1;2D;0;9;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.948165560572;149.67318680025312;-93.80819994127015;57.8296909442758;0.005780963844987497
A_PA1_to_C1;2D;0;10;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.4353071254392;149.91765141766606;-93.61529251179608;57.57956538587112;0.0832192172210462
A_PA1_to_C1;2D;0;11;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.9224486903064;150.162116035079;-93.42238508232202;57.33462780328447;0.1590512861333231
A_PA1_to_C1;2D;0;12;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.4095902551736;150.40658065249195;-93.22947765284796;57.09494496587692;0.23325649895299705
A_PA1_to_C1;2D;0;13;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.89673182004083;150.65104526990487;-93.03657022337391;56.860583324231456;0.3058142827441621
A_PA1_to_C1;2D;0;14;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-148.38387338490804;150.89550988731781;-92.84366279389985;56.631608941360845;0.37670418456168875
A_PA1_to_C1;2D;0;15;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.87101494977523;151.13997450473076;-92.65075536442579;56.40808742195196;0.4459058933570077
A_PA1_to_C1;2D;0;16;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-147.35815651464245;151.3844391221437;-92.45784793495173;56.19008383974817;0.5133992624603501
A_PA1_to_C1;2D;0;17;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-151.2501199174729;149.97267333952075;-93.38496079002577;57.817239251891415;0.00963597696708618
A_PA1_to_C1;2D;0;18;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.7372614823401;150.2171379569337;-93.19205336055171;57.5670595916259;0.08709098014526262
A_PA1_to_C1;2D;0;19;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-150.2244030472073;150.46160257434664;-92.99914593107765;57.32206857172166;0.1629395931187112
A_PA1_to_C1;2D;0;20;5.0;0.6;0.6;-149.90804692985947;151.2775293093675;-92.07492606;-124.23;120.25;-51.8;-149.7115446120745;150.7060671917596;-92.80623850160359;57.082332999418604;0.23716113253142268
