condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
B_PA2_to_C2;1D;0;1;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-104.82419013869246;124.81307991004971;-92.31175109067941;57.70019149157402;0.19238914068710855
B_PA2_to_C2;1D;0;2;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-104.32326664581831;125.13932928638614;-92.36310280658881;57.69816830283194;0.1930155149106625
B_PA2_to_C2;1D;0;3;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-103.82234315294414;125.46557866272258;-92.41445452249823;57.70238429076854;0.1917102554875676
B_PA2_to_C2;1D;0;4;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-103.32141966006999;125.79182803905901;-92.46580623840764;57.71283808804712;0.188473785741877
B_PA2_to_C2;1D;0;5;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.82049616719583;126.11807741539545;-92.51715795431706;57.7295263059966;0.1833071547977667
B_PA2_to_C2;1D;0;6;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.31957267432168;126.44432679173188;-92.56850967022646;57.75244354009935;0.1762120358805035
B_PA2_to_C2;1D;0;7;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.81864918144751;126.77057616806832;-92.61986138613588;57.78158237873012;0.16719072361091492
B_PA2_to_C2;1D;0;8;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.31772568857336;127.09682554440475;-92.67121310204529;57.816933415112786;0.15624613030358958
B_PA2_to_C2;1D;0;9;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.8168021956992;127.4230749207412;-92.7225648179547;57.85848526245045;0.1433817812826419
B_PA2_to_C2;1D;0;10;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.31587870282505;127.74932429707764;-92.77391653386411;57.90622457217191;0.12860180923265574
B_PA2_to_C2;1D;0;11;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.81495520995088;128.07557367341406;-92.82526824977353;57.96013605522694;0.11191094760571119
B_PA2_to_C2;1D;0;12;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.31403171707673;128.4018230497505;-92.87661996568293;58.02020250635142;0.09331452310896893
B_PA2_to_C2;1D;0;13;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.81310822420257;128.72807242608692;-92.92797168159235;58.08640483121364;0.07281844730022868
B_PA2_to_C2;1D;0;14;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.31218473132841;129.05432180242337;-92.97932339750176;58.1587220763425;0.05042920732225298
B_PA2_to_C2;1D;0;15;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-97.81126123845425;129.3805711787598;-93.03067511341118;58.237131461730336;0.026153855808992432
B_PA2_to_C2;1D;0;16;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-97.3103377455801;129.70682055509624;-93.08202682932058;58.32160841599338;0.0
B_PA2_to_C2;1D;1;1;5.0;0.6;0.6;-100.07751745712665;127.90456797971204;-92.79835192;-122.74;162.07;-51.8;-103.84050465846508;125.46458403298038;-92.42902054811975;57.860735503299395;0.18161970708715458
