condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
B_PA2_to_C2;2D;0;1;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.90524701165913;124.94621557482452;-91.0342355659558;57.76770903813612;0.08993344695272398
B_PA2_to_C2;2D;0;2;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.40432351878498;125.27246495116096;-91.0855872818652;57.790611130635774;0.08284301583827869
B_PA2_to_C2;2D;0;3;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.90340002591081;125.59871432749739;-91.13693899777462;57.81973073432611;0.07382765865860819
B_PA2_to_C2;2D;0;4;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.40247653303666;125.92496370383382;-91.18829071368403;57.85505846101605;0.06289028197441482
B_PA2_to_C2;2D;0;5;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.9015530401625;126.25121308017027;-91.23964242959345;57.8965829463639;0.05003440415774563
B_PA2_to_C2;2D;0;6;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.40062954728835;126.57746245650671;-91.29099414550285;57.944290868064;0.03526414976142789
B_PA2_to_C2;2D;0;7;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.89970605441418;126.90371183284313;-91.34234586141227;57.998166967072486;0.01858424294765726
B_PA2_to_C2;2D;0;8;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.39878256154003;127.22996120917958;-91.39369757732167;58.05819407179341;0.0
B_PA2_to_C2;2D;0;9;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.1667467703839;125.28103324355907;-91.45792767691616;57.74901044619513;0.09572248470535172
B_PA2_to_C2;2D;0;10;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.66582327750974;125.6072826198955;-91.50927939282556;57.77191995123897;0.08862975868558465
B_PA2_to_C2;2D;0;11;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.16489978463558;125.93353199623193;-91.56063110873498;57.80104897136362;0.07961148620117342
B_PA2_to_C2;2D;0;12;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.66397629176143;126.25978137256837;-91.61198282464439;57.83638810928277;0.06867057662867992
B_PA2_to_C2;2D;0;13;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.16305279888726;126.58603074890482;-91.6633345405538;57.87792598966549;0.05581055174238969
B_PA2_to_C2;2D;0;14;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.66212930601311;126.91228012524125;-91.71468625646321;57.925649277352136;0.04103554007469867
B_PA2_to_C2;2D;0;15;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.16120581313895;127.23852950157767;-91.76603797237263;57.979542698614125;0.024350270334146273
B_PA2_to_C2;2D;0;16;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.6602823202648;127.56477887791412;-91.81738968828203;58.039589065378706;0.00576006390548045
B_PA2_to_C2;2D;0;17;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.42824652910868;125.61585091229362;-91.88161978787652;57.73654135393592;0.09958288478560107
B_PA2_to_C2;2D;0;18;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.92732303623453;125.94210028863006;-91.93297150378592;57.75945580467637;0.09248862759041643
B_PA2_to_C2;2D;0;19;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.42639954336036;126.2683496649665;-91.98432321969534;57.78859110750127;0.08346840999756822
B_PA2_to_C2;2D;0;20;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.92547605048621;126.59459904130293;-92.03567493560475;57.82393785905267;0.07252514326338755
B_PA2_to_C2;2D;0;21;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.42455255761205;126.92084841763938;-92.08702665151417;57.86548467666365;0.059662351433363625
B_PA2_to_C2;2D;0;22;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.9236290647379;127.24709779397581;-92.13837836742357;57.91321821659374;0.04488416569649445
B_PA2_to_C2;2D;0;23;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.42270557186373;127.57334717031223;-92.18973008333299;57.96712319531147;0.028195317796267716
B_PA2_to_C2;2D;0;24;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-98.92178207898958;127.89959654664868;-92.2410817992424;58.02718241374491;0.009601132522757183
B_PA2_to_C2;2D;0;25;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.68974628783344;125.95066858102817;-92.30531189883688;57.73030579786282;0.1015133975017335
B_PA2_to_C2;2D;0;26;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.1888227949593;126.2769179573646;-92.35666361474628;57.75322272265301;0.09441837434687628
B_PA2_to_C2;2D;0;27;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.68789930208513;126.60316733370104;-92.4080153306557;57.782361168352885;0.08539718372771787
B_PA2_to_C2;2D;0;28;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.18697580921098;126.92941671003747;-92.4593670465651;57.81771172856624;0.07445273784123074
B_PA2_to_C2;2D;0;29;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.68605231633681;127.25566608637392;-92.51071876247453;57.85926301695517;0.061588561869424296
B_PA2_to_C2;2D;0;30;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.18512882346266;127.58191546271036;-92.56207047838393;57.907001685485376;0.0468087883306616
B_PA2_to_C2;2D;0;31;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.6842053305885;127.90816483904678;-92.61342219429335;57.96091244571999;0.030118150487126627
B_PA2_to_C2;2D;0;32;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.18328183771435;128.23441421538323;-92.66477391020275;58.02097809308309;0.011521974832916726
B_PA2_to_C2;2D;0;33;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.95124604655821;126.28548624976273;-92.72900400979724;57.73030579786282;0.1015133975017335
B_PA2_to_C2;2D;0;34;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.45032255368406;126.61173562609916;-92.78035572570664;57.75322272265301;0.09441837434687628
B_PA2_to_C2;2D;0;35;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.9493990608099;126.9379850024356;-92.83170744161606;57.782361168352885;0.08539718372771787
B_PA2_to_C2;2D;0;36;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.44847556793574;127.26423437877203;-92.88305915752547;57.81771172856623;0.0744527378412343
B_PA2_to_C2;2D;0;37;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.94755207506158;127.59048375510848;-92.93441087343489;57.85926301695517;0.061588561869424296
B_PA2_to_C2;2D;0;38;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.44662858218743;127.91673313144491;-92.98576258934429;57.907001685485376;0.0468087883306616
B_PA2_to_C2;2D;0;39;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.94570508931326;128.24298250778133;-93.03711430525371;57.96091244571999;0.030118150487126627
B_PA2_to_C2;2D;0;40;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-99.44478159643911;128.56923188411778;-93.08846602116311;58.02097809308309;0.011521974832916726
B_PA2_to_C2;2D;0;41;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-103.21274580528298;126.62030391849727;-93.1526961207576;57.736541353935934;0.09958288478559751
B_PA2_to_C2;2D;0;42;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.71182231240883;126.9465532948337;-93.204047836667;57.75945580467638;0.09248862759041288
B_PA2_to_C2;2D;0;43;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.21089881953466;127.27280267117014;-93.25539955257642;57.788591107501276;0.08346840999756466
B_PA2_to_C2;2D;0;44;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.70997532666051;127.59905204750658;-93.30675126848583;57.82393785905268;0.07252514326338755
B_PA2_to_C2;2D;0;45;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.20905183378635;127.92530142384302;-93.35810298439525;57.865484676663655;0.05966235143336007
