model_x,model_y,model_z,edge_label,extraction,gtd_type,curvature_proxy,gtd_relative_amplitude_percent,comment
-138.5641,93.12886733333333,-74.12097666666665,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.01648603852415095,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-126.9047,99.894905,-98.14144333333333,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.07405421087586146,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-79.5897,146.11004533333335,-112.47038666666668,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.13342981082798497,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-78.1847,146.72672699999998,-112.23520666666668,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.2528722878106019,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-76.80825,146.62666299999998,-108.29226000000003,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.12516952626746528,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-58.7063,140.03406066666665,-68.94277000000004,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.16603759994479275,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-57.2932,139.75787400000002,-65.62819333333337,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.24251722362307487,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-55.928700000000006,140.14611200000002,-65.7692866666667,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.08818546797985596,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-26.2831,149.32135366666665,-66.18021666666667,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.3816596976109985,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
23.1597,149.8312906666667,-69.04150000000001,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.11931806481807328,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
37.07795,146.93777300000002,-73.34272333333334,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.08971106824871306,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
38.97225,147.0342666666667,-73.87573666666667,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.09143135222130915,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
58.2643,148.22320233333332,-113.04967333333333,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.10248922110701135,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
59.627,147.59594633333333,-116.38534,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.09003174732102065,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
99.9868,118.59995333333333,-84.75130999999998,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.07711527911565166,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
111.37219999999999,112.69125400000003,-76.63233333333334,Lower groove edge,x-binning quantile 0.15,Lower groove GTD proxy,0.01706662237909891,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-136.28674999999998,158.56629433333333,-53.670713333333346,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.019497855192116206,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-77.019,187.73571033333332,-95.91785000000002,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.09304822277358031,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
-75.5303,187.96687966666667,-96.13452666666669,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.0930041334187302,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
32.289,195.22820366666667,-107.06923333333332,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.0840918391877758,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
39.1959,190.83456466666664,-106.97086666666664,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.110436023836112,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
40.6161,190.39350366666665,-106.27944999999998,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.15896461553720875,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
41.9829,190.13733299999998,-105.00538666666665,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.13476157338216982,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
44.7938,190.52297766666663,-101.85687999999999,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.10132141197042249,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
47.607150000000004,190.16487766666665,-99.28426999999998,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.0954646837302786,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
57.184650000000005,190.6401083333333,-91.21224,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.09219884530649898,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
58.6081,190.83879266666662,-90.06596333333333,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.08863589908083953,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
61.36555,191.56927599999995,-86.17161333333331,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.08372825672464967,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
77.8055,190.90335766666664,-68.65903333333334,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.08862258508896197,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
79.303,190.6876073333333,-67.93616,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.08899911678795268,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
97.94104999999999,181.98759033333334,-57.709789999999984,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.08844190491484316,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
111.3828,175.32018266666668,-56.5446,Upper groove edge,x-binning quantile 0.85,Upper groove GTD proxy,0.02191185592147144,65.0,"GTD-inspired edge proxy, not full calibrated GTD"
