model_x,model_y,model_z,edge_label,extraction
-138.5641,93.12886733333333,-74.12097666666665,Lower groove edge,x-binning quantile 0.15
-136.6915,93.69604633333333,-77.26635,Lower groove edge,x-binning quantile 0.15
-135.29534999999998,94.25080733333333,-80.63031000000001,Lower groove edge,x-binning quantile 0.15
-133.8515,94.92158500000001,-83.40603666666667,Lower groove edge,x-binning quantile 0.15
-132.44415,95.66805266666667,-86.50098333333332,Lower groove edge,x-binning quantile 0.15
-131.0659,96.53529833333333,-89.47830333333333,Lower groove edge,x-binning quantile 0.15
-129.4874,97.53966799999999,-92.35481666666666,Lower groove edge,x-binning quantile 0.15
-128.2105,98.66822066666667,-95.19772999999999,Lower groove edge,x-binning quantile 0.15
-126.9047,99.894905,-98.14144333333333,Lower groove edge,x-binning quantile 0.15
-125.59864999999999,100.58409233333333,-102.08124999999998,Lower groove edge,x-binning quantile 0.15
-124.131,101.426619,-105.42541999999997,Lower groove edge,x-binning quantile 0.15
-122.76304999999999,102.34876566666668,-107.82923999999998,Lower groove edge,x-binning quantile 0.15
-121.3772,103.39619633333334,-110.17557333333332,Lower groove edge,x-binning quantile 0.15
-119.9596,104.594973,-112.19922666666666,Lower groove edge,x-binning quantile 0.15
-118.586,105.92417,-113.86270666666665,Lower groove edge,x-binning quantile 0.15
-117.1925,107.40006566666668,-114.60407333333332,Lower groove edge,x-binning quantile 0.15
-115.78425,108.98696833333335,-114.25768666666667,Lower groove edge,x-binning quantile 0.15
-114.3896,110.68208433333335,-113.63586,Lower groove edge,x-binning quantile 0.15
-112.99435,112.35996833333334,-113.56867333333332,Lower groove edge,x-binning quantile 0.15
-111.6073,114.05695833333333,-113.36876666666664,Lower groove edge,x-binning quantile 0.15
-110.2387,115.73884366666668,-113.23640999999999,Lower groove edge,x-binning quantile 0.15
-108.83685,117.38032033333333,-113.25493666666668,Lower groove edge,x-binning quantile 0.15
-107.4438,118.996544,-113.28853666666667,Lower groove edge,x-binning quantile 0.15
-105.9953,120.60573233333332,-113.13218,Lower groove edge,x-binning quantile 0.15
-104.6281,122.194063,-113.12701333333334,Lower groove edge,x-binning quantile 0.15
-103.2581,123.74087166666666,-113.12701333333331,Lower groove edge,x-binning quantile 0.15
-101.8742,125.24056366666667,-113.23814,Lower groove edge,x-binning quantile 0.15
-100.46039999999999,126.717393,-113.30123999999998,Lower groove edge,x-binning quantile 0.15
-99.0883,128.188116,-113.36671666666666,Lower groove edge,x-binning quantile 0.15
-97.6783,129.61721333333332,-113.63561666666666,Lower groove edge,x-binning quantile 0.15
-96.31225,130.99826666666667,-113.68601000000001,Lower groove edge,x-binning quantile 0.15
-94.9145,132.34770666666665,-113.56197,Lower groove edge,x-binning quantile 0.15
-93.5116,133.67915266666665,-113.49478333333334,Lower groove edge,x-binning quantile 0.15
-92.12165,134.99315199999998,-113.29324333333332,Lower groove edge,x-binning quantile 0.15
-90.7195,136.297362,-113.07315,Lower groove edge,x-binning quantile 0.15
-89.40505,137.583566,-113.1719,Lower groove edge,x-binning quantile 0.15
-88.05455,138.86322733333333,-112.64891999999998,Lower groove edge,x-binning quantile 0.15
-86.59540000000001,140.102014,-112.39696666666664,Lower groove edge,x-binning quantile 0.15
-85.1524,141.32777166666665,-112.43572666666665,Lower groove edge,x-binning quantile 0.15
-83.7877,142.536926,-112.52488666666665,Lower groove edge,x-binning quantile 0.15
-82.4184,143.73852233333332,-112.58798666666665,Lower groove edge,x-binning quantile 0.15
-81.0832,144.93006533333332,-112.53758666666667,Lower groove edge,x-binning quantile 0.15
