model_x,model_y,model_z,edge_label,extraction
-136.28674999999998,158.56629433333333,-53.670713333333346,Upper groove edge,x-binning quantile 0.85
-134.9119,159.12506066666663,-53.094260000000006,Upper groove edge,x-binning quantile 0.85
-133.57915,159.7594243333333,-52.63902000000001,Upper groove edge,x-binning quantile 0.85
-132.0521,160.45518133333334,-52.18378,Upper groove edge,x-binning quantile 0.85
-130.8436,161.22452700000002,-51.772760000000005,Upper groove edge,x-binning quantile 0.85
-129.4003,162.0559096666667,-51.22336333333334,Upper groove edge,x-binning quantile 0.85
-128.0425,162.96022666666667,-50.66518333333334,Upper groove edge,x-binning quantile 0.85
-126.5911,163.9340203333333,-50.092983333333336,Upper groove edge,x-binning quantile 0.85
-125.1231,164.96587999999997,-49.59977666666667,Upper groove edge,x-binning quantile 0.85
-123.8901,165.9966943333333,-49.64010000000001,Upper groove edge,x-binning quantile 0.85
-122.5513,167.00001166666664,-49.640100000000004,Upper groove edge,x-binning quantile 0.85
-121.02995,167.99842833333332,-49.72204666666666,Upper groove edge,x-binning quantile 0.85
-119.78545,168.96448833333332,-49.66793333333333,Upper groove edge,x-binning quantile 0.85
-118.3281,169.92924766666667,-49.72801,Upper groove edge,x-binning quantile 0.85
-117.06635,170.878933,-49.788086666666665,Upper groove edge,x-binning quantile 0.85
-115.5176,171.81453699999997,-49.817220000000006,Upper groove edge,x-binning quantile 0.85
-114.17609999999999,172.74895733333332,-49.91945,Upper groove edge,x-binning quantile 0.85
-112.756,173.66010066666666,-49.852349999999994,Upper groove edge,x-binning quantile 0.85
-111.5291,174.56832733333331,-49.91913666666665,Upper groove edge,x-binning quantile 0.85
-110.1535,175.441152,-49.94170333333333,Upper groove edge,x-binning quantile 0.85
-108.78035,176.29963166666664,-50.102646666666665,Upper groove edge,x-binning quantile 0.85
-107.1968,177.14794666666666,-50.34470666666666,Upper groove edge,x-binning quantile 0.85
-105.9051,177.97331533333332,-50.55333333333333,Upper groove edge,x-binning quantile 0.85
-104.55185,178.76393833333333,-50.61340999999999,Upper groove edge,x-binning quantile 0.85
-103.088,179.564095,-51.04003999999999,Upper groove edge,x-binning quantile 0.85
-101.7455,180.34197899999998,-51.49636666666665,Upper groove edge,x-binning quantile 0.85
-100.45965000000001,181.10063966666667,-51.99781999999999,Upper groove edge,x-binning quantile 0.85
-99.1172,181.833504,-53.84867999999999,Upper groove edge,x-binning quantile 0.85
-97.56025,182.50449533333335,-56.82544333333333,Upper groove edge,x-binning quantile 0.85
-96.1194,183.02547033333335,-60.37151,Upper groove edge,x-binning quantile 0.85
-94.8155,183.44990733333336,-64.10642333333332,Upper groove edge,x-binning quantile 0.85
-93.48745,183.813819,-67.77084666666667,Upper groove edge,x-binning quantile 0.85
-92.20134999999999,184.4225833333333,-71.22579999999999,Upper groove edge,x-binning quantile 0.85
-90.7398,184.9816753333333,-74.18132666666666,Upper groove edge,x-binning quantile 0.85
-89.31015,185.57016633333328,-77.30092,Upper groove edge,x-binning quantile 0.85
-87.8658,186.0822676666666,-79.81832666666668,Upper groove edge,x-binning quantile 0.85
-86.53020000000001,186.48716333333329,-82.54193000000001,Upper groove edge,x-binning quantile 0.85
-85.19175000000001,186.79827333333336,-84.89504,Upper groove edge,x-binning quantile 0.85
-83.8087,187.08170133333334,-87.55623999999999,Upper groove edge,x-binning quantile 0.85
-82.41915,187.39997033333333,-89.44008666666666,Upper groove edge,x-binning quantile 0.85
-81.0798,187.576727,-91.53375,Upper groove edge,x-binning quantile 0.85
-79.64595,187.8166523333333,-93.74037666666666,Upper groove edge,x-binning quantile 0.85
-78.2556,187.83815466666667,-95.29551666666667,Upper groove edge,x-binning quantile 0.85
-77.019,187.73571033333332,-95.91785000000002,Upper groove edge,x-binning quantile 0.85
-75.5303,187.96687966666667,-96.13452666666669,Upper groove edge,x-binning quantile 0.85
-74.118,188.36112,-95.97715666666669,Upper groove edge,x-binning quantile 0.85
-72.7654,188.9420413333333,-96.03738333333334,Upper groove edge,x-binning quantile 0.85
-71.3549,189.19678033333332,-96.08891000000001,Upper groove edge,x-binning quantile 0.85
-70.0022,189.394505,-96.66053000000001,Upper groove edge,x-binning quantile 0.85
-68.4642,189.4218833333333,-96.87571,Upper groove edge,x-binning quantile 0.85
-67.2397,189.3720363333333,-97.73089666666668,Upper groove edge,x-binning quantile 0.85
-65.83770000000001,189.425159,-98.46210666666667,Upper groove edge,x-binning quantile 0.85
-64.446,189.47209666666666,-99.90983000000001,Upper groove edge,x-binning quantile 0.85
-63.0832,189.84917366666664,-101.1343,Upper groove edge,x-binning quantile 0.85
-61.6615,190.05239633333332,-102.75858666666666,Upper groove edge,x-binning quantile 0.85
-60.2711,190.29441333333335,-104.13682333333333,Upper groove edge,x-binning quantile 0.85
-58.9025,190.65927799999997,-105.46981,Upper groove edge,x-binning quantile 0.85
-57.52165,191.2072073333333,-106.09280333333331,Upper groove edge,x-binning quantile 0.85
-56.189,191.82299999999998,-106.24482999999998,Upper groove edge,x-binning quantile 0.85
-54.78795,192.40994366666666,-106.28378666666666,Upper groove edge,x-binning quantile 0.85
-53.3877,192.91744633333332,-106.30068333333332,Upper groove edge,x-binning quantile 0.85
-52.0055,193.2594236666667,-106.34347,Upper groove edge,x-binning quantile 0.85
-50.713350000000005,193.63238633333336,-106.60975666666667,Upper groove edge,x-binning quantile 0.85
-49.2526,194.14159033333334,-106.68770333333333,Upper groove edge,x-binning quantile 0.85
-47.86535,194.70295099999998,-107.16033666666667,Upper groove edge,x-binning quantile 0.85
