layer,edge_label,model_x,model_y,model_z,nearest_condition,nearest_scan_id,scan_pixel,equivalent_path_mm,amplitude_percent
geometry_echo,Lower groove edge,-138.5641,93.12886733333333,-74.12097666666665,A_PA1_to_C1,0,0.0,47.34182027864864,32.0
geometry_echo,Lower groove edge,-131.0659,96.53529833333333,-89.47830333333333,A_PA1_to_C1,0,0.0,48.44474541829687,32.0
geometry_echo,Lower groove edge,-124.131,101.426619,-105.42541999999997,A_PA1_to_C1,0,0.0,54.71737749725589,32.0
geometry_echo,Lower groove edge,-117.1925,107.40006566666668,-114.60407333333332,A_PA1_to_C1,0,0.0,59.20803045368503,32.0
geometry_echo,Lower groove edge,-110.2387,115.73884366666668,-113.23640999999999,A_PA1_to_C1,5,3.162389767456003,55.36939715032198,32.0
geometry_echo,Lower groove edge,-103.2581,123.74087166666666,-113.12701333333331,A_PA1_to_C1,13,8.221457936464654,52.89414266503479,32.0
geometry_echo,Lower groove edge,-96.31225,130.99826666666667,-113.68601000000001,A_PA1_to_C1,21,13.281367428453601,51.345315733323524,32.0
geometry_echo,Lower groove edge,-89.40505,137.583566,-113.1719,A_PA1_to_C1,28,17.7063112738948,49.219672518003854,32.0
geometry_echo,Lower groove edge,-82.4184,143.73852233333332,-112.58798666666665,A_PA1_to_C1,35,22.13745178383166,47.3036255489603,32.0
geometry_echo,Lower groove edge,-75.41805,146.44045866666667,-105.89055333333334,A_PA1_to_C1,40,25.297087078591055,43.47427714747812,32.0
geometry_echo,Lower groove edge,-68.81615,144.69341933333337,-92.39624,A_PA1_to_C1,44,27.829779040801323,42.06465345153444,32.0
geometry_echo,Lower groove edge,-61.600899999999996,141.55829933333334,-75.82387666666669,A_PA1_to_C1,48,30.358112456284832,48.078617787547564,32.0
geometry_echo,Lower groove edge,-54.5269,140.57298400000002,-64.72204000000004,A_PA1_to_C1,53,33.51827352287924,56.25662244555323,32.0
geometry_echo,Lower groove edge,-47.5822,142.7282053333333,-61.79460000000003,A_PA1_to_C1,59,37.31591021833637,60.1152289604237,32.0
