condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.800000000000004,64,0.0,0.0
A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576664,-123.25,121.26,-51.800000000000004,64,1.4073023839957135,1.61121491486071
A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.800000000000004,64,2.814462644946821,3.222267113611635
A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.800000000000004,64,4.221622905897929,4.833319312362561
A_PA1_to_C1,4,-122.91267870531779,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.800000000000004,64,5.628925289893642,6.44453422722327
A_PA1_to_C1,5,-122.01174866453803,143.40418686963125,-66.74131078089212,-119.24,125.21000000000001,-51.800000000000004,64,7.036227673889355,8.05574914208398
A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22000000000001,126.16999999999999,-51.800000000000004,64,8.436941777480778,9.659421160853988
A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19000000000003,127.13,-51.800000000000004,64,9.844954561513646,11.271449409898166
A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.14999999999999,128.08,-51.800000000000004,64,11.253535407613757,12.8841280309489
A_PA1_to_C1,9,-118.36592519347505,147.73104304627157,-68.32808255362079,-115.10000000000001,129.02,-51.800000000000004,64,12.66282600929957,14.497619248353192
A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.04999999999998,129.95000000000002,-51.800000000000004,64,14.065466376606908,16.103496638807588
A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.800000000000004,64,15.475608213444584,17.717962431959304
A_PA1_to_C1,12,-115.58288695538624,150.9402844562672,-69.50264433810658,-111.91999999999999,131.79,-51.800000000000004,64,16.880243397398058,19.326123680075863
A_PA1_to_C1,13,-114.64639947593099,152.00339379708413,-69.8913011714731,-110.84000000000002,132.70000000000002,-51.800000000000004,64,18.29251107740776,20.943023342639282
A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.800000000000004,64,19.698356019070953,22.552569637557035
A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.66999999999999,134.48,-51.800000000000004,64,21.099248591683153,24.15644598480072
A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781225,-107.56999999999996,135.36,-51.800000000000004,64,22.507935923918414,25.769246521405012
A_PA1_to_C1,17,-110.849031768006,156.216148479111,-71.42884697464697,-106.46000000000001,136.24,-51.800000000000004,64,23.92444571915454,27.391002964857247
A_PA1_to_C1,18,-109.88775968148192,157.25996132776058,-71.80920414042144,-105.35000000000001,137.1,-51.800000000000004,64,25.32861807324786,28.998634320903555
A_PA1_to_C1,19,-108.92107988638196,158.2994494986132,-72.1877053882543,-104.23,137.95000000000002,-51.800000000000004,64,26.734640832665377,30.608384198662602
A_PA1_to_C1,20,-107.94864743686082,159.33428339378025,-72.56421201203561,-103.10000000000001,138.79,-51.800000000000004,64,28.14265361669823,32.220412447706764
A_PA1_to_C1,21,-106.97120712934904,160.3650232243761,-72.93896483167389,-101.97000000000001,139.63,-51.800000000000004,64,29.5506664007311,33.83244069675094
A_PA1_to_C1,22,-105.9886806011947,161.39156820008367,-73.3119223265337,-100.83000000000001,140.45000000000002,-51.800000000000004,64,30.95494557525447,35.440194351083726
