direction,target_side,edm_id,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,ut_path_mm,relative_amplitude_percent,detection_status,note,v55_layer,public_label,confidential_name_displayed,hardware_status
INTRADOS_TO_EXTRADOS,C2,EDM_06,94.9125,178.63,-51.36,4.0,94.9125,93.63,-41.36,85.58621384311844,99.94698216592572,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
INTRADOS_TO_EXTRADOS,C2,EDM_07,61.687000000000005,192.4055,-51.36,6.0,61.687000000000005,107.40549999999999,-41.36,85.58621384311844,100.0,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
INTRADOS_TO_EXTRADOS,C2,EDM_08,24.747500000000002,200.793,-51.36,4.0,24.747500000000002,115.793,-41.36,85.58621384311844,99.94698216592572,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
INTRADOS_TO_EXTRADOS,C2,EDM_09,-33.2785,199.578,-51.36,4.0,-33.2785,114.578,-41.36,85.58621384311844,99.94698216592572,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
INTRADOS_TO_EXTRADOS,C2,EDM_10,-100.4165,175.5925,-51.36,3.0,-100.4165,90.5925,-41.36,85.58621384311844,86.55662558728191,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
INTRADOS_TO_EXTRADOS,C2,EDM_11,-122.10400000000001,161.2415,-51.36,3.0,-122.10400000000001,76.2415,-41.36,85.58621384311844,86.55662558728191,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
EXTRADOS_TO_INTRADOS,C1,EDM_01,-126.838,116.0865,-51.63,4.0,-126.838,201.0865,-41.63,85.58621384311844,99.94698216592572,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
EXTRADOS_TO_INTRADOS,C1,EDM_02,-66.245,159.7865,-51.63,3.0,-66.245,244.7865,-41.63,85.58621384311844,86.55662558728191,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
EXTRADOS_TO_INTRADOS,C1,EDM_03,0.0,173.11,-51.63,3.0,0.0,258.11,-41.63,85.58621384311844,86.55662558728191,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
EXTRADOS_TO_INTRADOS,C1,EDM_04,67.37,159.429,-51.63,8.0,67.37,244.429,-41.63,85.58621384311844,100.0,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
EXTRADOS_TO_INTRADOS,C1,EDM_05,95.60149999999999,144.254,-51.63,3.0,95.60149999999999,229.254,-41.63,85.58621384311844,86.55662558728191,STRONG,3D UT path validation; relative amplitude; wedge/probe data pending,Two-direction 3D UT path validation,Reference EDM,NO,Pending real wedge and probe dimensions
