probe_config,condition,public_condition,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,scan_id,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,central_focus_distance_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,relative_amplitude_percent,amplitude_note,calibration_status,detection_status
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,60.12255445141427,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,MEDIUM
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,1,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,57.85402132978515,56.18107365714283,6.395524245194467,6.2548882950061735,57.51490377671017,1.0828036405504378,16,49.0204563153338,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,2,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,57.38960567349216,55.41729548162187,7.8830443786872815,7.749152132980269,56.86402624312537,1.079272506926678,16,37.80655021501657,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,3,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,56.97230656494832,54.665946797017796,9.374529785161968,9.245300000422722,56.21715168196124,1.075792187759074,16,27.58021319820917,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,4,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,56.60299024751338,53.92415761661508,10.868690507921741,10.742707420023205,55.57420932634017,1.0778585582157092,16,19.030243206875713,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,5,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,56.27541381627656,53.18181887537765,12.364928406424344,12.241016283756519,54.927950266999574,1.0772442622135348,16,12.418910810700348,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,6,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,56.00216066064938,52.46005672553427,13.861496485117932,13.740116624502683,54.290433722767865,1.0742829357756332,16,7.665498933250366,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,7,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,55.773812425267614,51.740421764172034,15.35878830882876,15.239434369052887,53.651447255039315,1.073911509958231,16,4.4754062157139645,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,8,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,55.59594161344636,51.032884514235406,16.85607502426771,16.7389910283084,53.0161758639752,1.070739099281807,16,2.471590551453126,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,9,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,55.46889710405107,50.33439133063327,18.35365453347459,18.23878619671154,52.3845895661162,1.0701754059913196,16,1.2910645681816237,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
