condition,x_mm,y_mm,z_mm,green_amplitude_percent,frequency_hz,velocity_m_per_s,wavelength_mm,physics_level
A_PA1_to_C1,78.6,-228.0,-51.8,0.7686440435163705,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,80.41123595505617,-228.0,-51.8,0.7586382477086592,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,82.22247191011236,-228.0,-51.8,0.7472026206844137,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,84.03370786516854,-228.0,-51.8,0.7343984730327277,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,85.84494382022471,-228.0,-51.8,0.7202914746294409,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,87.65617977528089,-228.0,-51.8,0.7137135962235471,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,89.46741573033708,-228.0,-51.8,0.7132253666037417,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,91.27865168539326,-228.0,-51.8,0.7120836158590186,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,93.08988764044943,-228.0,-51.8,0.7090343536365363,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,94.90112359550562,-228.0,-51.8,0.7041067201649533,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,96.7123595505618,-228.0,-51.8,0.6973406083483551,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,98.52359550561798,-228.0,-51.8,0.6946283468732383,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,100.33483146067415,-228.0,-51.8,0.6919134254245695,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,102.14606741573033,-228.0,-51.8,0.6873524049711706,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,103.95730337078652,-228.0,-51.8,0.6809855391715255,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,105.7685393258427,-228.0,-51.8,0.6728632574925014,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,107.57977528089887,-228.0,-51.8,0.6676318999155274,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,109.39101123595506,-228.0,-51.8,0.6635310276139749,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,111.20224719101124,-228.0,-51.8,0.6576638517080626,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,113.01348314606741,-228.0,-51.8,0.650079805736461,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,114.8247191011236,-228.0,-51.8,0.640837807337261,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,116.63595505617977,-228.0,-51.8,0.6318767250944028,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,118.44719101123596,-228.0,-51.8,0.6269850080324063,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,120.25842696629213,-228.0,-51.8,0.6204109113490714,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,122.06966292134831,-228.0,-51.8,0.6122089352600021,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,123.8808988764045,-228.0,-51.8,0.6024424163338444,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,125.69213483146068,-228.0,-51.8,0.591182977999193,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,127.50337078651685,-228.0,-51.8,0.5827584467734239,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,129.31460674157304,-228.0,-51.8,0.5836200614686439,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,131.1258426966292,-228.0,-51.8,0.5833319111822933,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,132.9370786516854,-228.0,-51.8,0.5817074228350946,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,134.7483146067416,-228.0,-51.8,0.5787604287950449,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,136.55955056179775,-228.0,-51.8,0.5752267204582591,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,138.37078651685394,-228.0,-51.8,0.5775842687431796,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,140.1820224719101,-228.0,-51.8,0.578646161331282,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,141.9932584269663,-228.0,-51.8,0.5784149491541771,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,143.80449438202248,-228.0,-51.8,0.5768986202955363,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,145.61573033707867,-228.0,-51.8,0.5741105150909002,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,147.42696629213484,-228.0,-51.8,0.570728455784191,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,149.238202247191,-228.0,-51.8,0.5731108375791182,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
A_PA1_to_C1,151.0494382022472,-228.0,-51.8,0.5742476916363025,5000000.0,3230.0,0.646,V4 coherent Green homogeneous steel field
