config,condition,scan_id,element_id,delay_us,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z
1D32,A_PA1_to_C1,0,1,3.8603255624873087,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-132.0680236233164,130.9551880306699,-62.16302418528666
1D32,A_PA1_to_C1,0,2,3.789470773502437,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-131.70696338955406,131.40491918998148,-62.32848533462301
1D32,A_PA1_to_C1,0,3,3.7131114417607822,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-131.34590315579172,131.8546503492931,-62.49394648395935
1D32,A_PA1_to_C1,0,4,3.6314793148005178,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.98484292202937,132.3043815086047,-62.65940763329569
1D32,A_PA1_to_C1,0,5,3.5448079913037063,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.623782688267,132.75411266791636,-62.82486878263204
1D32,A_PA1_to_C1,0,6,3.453330643580542,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-130.26272245450463,133.20384382722798,-62.99032993196838
1D32,A_PA1_to_C1,0,7,3.3572780414614227,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.9016622207423,133.65357498653958,-63.15579108130473
1D32,A_PA1_to_C1,0,8,3.2568768794762937,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.54060198697996,134.1033061458512,-63.32125223064107
1D32,A_PA1_to_C1,0,9,3.1523483981221254,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-129.17954175321762,134.55303730516283,-63.48671337997742
1D32,A_PA1_to_C1,0,10,3.043907281761875,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-128.81848151945528,135.00276846447446,-63.65217452931376
1D32,A_PA1_to_C1,0,11,2.9317608100641124,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-128.45742128569293,135.45249962378608,-63.817635678650106
1D32,A_PA1_to_C1,0,12,2.8161082365455474,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-128.0963610519306,135.9022307830977,-63.98309682798645
1D32,A_PA1_to_C1,0,13,2.697140366318008,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.73530081816824,136.35196194240933,-64.1485579773228
1D32,A_PA1_to_C1,0,14,2.575039305151922,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.37424058440588,136.80169310172093,-64.31401912665913
1D32,A_PA1_to_C1,0,15,2.449978353059935,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.01318035064352,137.25142426103255,-64.47948027599548
1D32,A_PA1_to_C1,0,16,2.3221220174333856,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.65212011688118,137.70115542034418,-64.64494142533182
1D32,A_PA1_to_C1,0,17,2.191626123044273,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.29105988311883,138.1508865796558,-64.81040257466817
1D32,A_PA1_to_C1,0,18,2.0586379987301173,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.92999964935647,138.60061773896743,-64.97586372400451
1D32,A_PA1_to_C1,0,19,1.923296723136348,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.56893941559412,139.05034889827903,-65.14132487334086
1D32,A_PA1_to_C1,0,20,1.7857334143792274,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.2078791818318,139.50008005759065,-65.3067860226772
1D32,A_PA1_to_C1,0,21,1.6460715508291637,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.84681894806944,139.94981121690228,-65.47224717201355
1D32,A_PA1_to_C1,0,22,1.5044273123510887,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.4857587143071,140.3995423762139,-65.63770832134989
1D32,A_PA1_to_C1,0,23,1.3609099332492507,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.12469848054474,140.84927353552553,-65.80316947068624
1D32,A_PA1_to_C1,0,24,1.2156220598428042,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-123.7636382467824,141.29900469483715,-65.96863062002258
1D32,A_PA1_to_C1,0,25,1.068660107049947,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-123.40257801302003,141.74873585414878,-66.13409176935893
1D32,A_PA1_to_C1,0,26,0.9201146095968172,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-123.0415177792577,142.1984670134604,-66.29955291869527
1D32,A_PA1_to_C1,0,27,0.7700705645100836,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-122.68045754549534,142.648198172772,-66.46501406803162
1D32,A_PA1_to_C1,0,28,0.6186077624205755,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-122.319397311733,143.09792933208362,-66.63047521736796
1D32,A_PA1_to_C1,0,29,0.4658011059198603,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-121.95833707797064,143.54766049139525,-66.79593636670431
1D32,A_PA1_to_C1,0,30,0.3117209137930636,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-121.59727684420832,143.99739165070687,-66.96139751604065
1D32,A_PA1_to_C1,0,31,0.1564332104190047,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-121.23621661044596,144.4471228100185,-67.126858665377
1D32,A_PA1_to_C1,0,32,0.0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-120.8751563766836,144.8968539693301,-67.29231981471334
