config,condition,scan_id,element_id,delay_us,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z
2D8x8,A_PA1_to_C1,0,1,0.9072887492685532,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.08978800482582,135.22626439852164,-65.79965405190354
2D8x8,A_PA1_to_C1,0,2,0.7858059409770926,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.72872777106348,135.67599555783323,-65.96511520123988
2D8x8,A_PA1_to_C1,0,3,0.6613547681674348,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.36766753730112,136.12572671714486,-66.13057635057623
2D8x8,A_PA1_to_C1,0,4,0.5340986485840267,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.00660730353876,136.57545787645648,-66.29603749991257
2D8x8,A_PA1_to_C1,0,5,0.4041925160154802,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.64554706977644,137.0251890357681,-66.46149864924892
2D8x8,A_PA1_to_C1,0,6,0.2717829858011171,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.28448683601408,137.47492019507973,-66.62695979858526
2D8x8,A_PA1_to_C1,0,7,0.1370085803792839,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.92342660225172,137.92465135439136,-66.79242094792161
2D8x8,A_PA1_to_C1,0,8,0.0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.56236636848938,138.37438251370295,-66.95788209725795
2D8x8,A_PA1_to_C1,0,9,0.923462692221518,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-127.27422023720936,135.54789226820384,-65.32791231630905
2D8x8,A_PA1_to_C1,0,10,0.8016782426538738,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.91316000344702,135.99762342751544,-65.49337346564539
2D8x8,A_PA1_to_C1,0,11,0.676929519685836,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.55209976968466,136.44735458682706,-65.65883461498174
2D8x8,A_PA1_to_C1,0,12,0.5493804754520131,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-126.19103953592231,136.89708574613869,-65.82429576431808
2D8x8,A_PA1_to_C1,0,13,0.4191864813498744,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.82997930215996,137.3468169054503,-65.98975691365443
2D8x8,A_PA1_to_C1,0,14,0.2864945038006139,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.46891906839762,137.79654806476194,-66.15521806299077
2D8x8,A_PA1_to_C1,0,15,0.1514433395862404,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-125.10785883463528,138.24627922407356,-66.32067921232712
2D8x8,A_PA1_to_C1,0,16,0.0141638957574237,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,-124.74679860087292,138.69601038338516,-66.48614036166346
