edm_id,side,edm_x,edm_y,edm_z,best_condition,best_scan_id,best_focus_x,best_focus_y,best_focus_z,distance_to_beam_focus_mm,beam_percent_at_best,response_percent,response_db,status,physics_level
EDM_01,SIDE_A,145.1,96.1,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,30.513467518458132,40.531792539087036,9.633509793198982,-20.324309135779842,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_02,SIDE_A,176.9,94.0,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,57.5231579453006,40.531792539087036,0.24554829371660813,-52.19726158756355,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_03,SIDE_A,160.4,67.8,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,62.325032691527724,40.531792539087036,0.10102646705153907,-59.91129668501398,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_04,SIDE_A,191.7,61.4,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,88.12709969129811,40.531792539087036,0.00025275840405326725,-111.94588790973178,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_05,SIDE_A,199.8,24.5,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,120.57916776956125,40.531792539087036,7.301691644666025e-09,-202.73153023092405,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_06,SIDE_A,174.1,0.0,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,128.87361910026425,40.531792539087036,2.997191592391933e-10,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_07,SIDE_A,199.0,-33.2,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,169.360319142354,40.531792539087036,2.4226366171530736e-18,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_08,SIDE_A,160.8,-66.6,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,189.21721301192443,40.531792539087036,4.0949864351260544e-23,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_09,SIDE_B,174.7,-99.9,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,224.65885181759475,40.531792539087036,6.044347839448031e-33,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_10,SIDE_B,160.5,-121.5,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,243.31282682998858,40.531792539087036,8.526117945875802e-39,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
EDM_11,SIDE_B,118.6,-188.0,-51.8,A_PA1_to_C1,198,125.21000000000001,119.24,-51.800000000000004,307.3110959597782,40.531792539087036,2.0574192412596317e-62,-220.0,NOT_DETECTED,V3.2 calibrated beam-to-EDM demonstrator response
